time,router,peer,state,metric_type,state_ok
2026-07-17 15:09:36.398960+00:00,ho-chennai,10.255.0.2,0,routing,0
2026-07-17 15:09:36.437064+00:00,ho-chennai,10.255.0.3,0,routing,0
2026-07-17 15:09:36.449614+00:00,ho-chennai,10.255.0.4,0,routing,0
2026-07-17 15:09:36.733426+00:00,zo-bengaluru,10.255.0.1,0,routing,0
2026-07-17 15:09:36.999200+00:00,br-koramangala,10.255.0.1,0,routing,0
2026-07-17 15:09:37.283492+00:00,br-whitefield,10.255.0.1,0,routing,0
2026-07-17 15:10:07.787478+00:00,ho-chennai,10.255.0.2,0,routing,0
2026-07-17 15:10:07.816418+00:00,ho-chennai,10.255.0.3,0,routing,0
2026-07-17 15:10:07.833380+00:00,ho-chennai,10.255.0.4,0,routing,0
2026-07-17 15:10:08.379806+00:00,zo-bengaluru,10.255.0.1,0,routing,0
2026-07-17 15:10:08.838932+00:00,br-koramangala,10.255.0.1,0,routing,0
2026-07-17 15:10:09.342938+00:00,br-whitefield,10.255.0.1,0,routing,0
2026-07-17 15:10:39.856479+00:00,ho-chennai,10.255.0.2,0,routing,0
2026-07-17 15:10:39.872181+00:00,ho-chennai,10.255.0.3,0,routing,0
2026-07-17 15:10:39.890394+00:00,ho-chennai,10.255.0.4,0,routing,0
2026-07-17 15:10:40.254374+00:00,zo-bengaluru,10.255.0.1,0,routing,0
2026-07-17 15:10:40.591158+00:00,br-koramangala,10.255.0.1,0,routing,0
2026-07-17 15:10:40.927147+00:00,br-whitefield,10.255.0.1,0,routing,0
2026-07-17 15:11:11.319569+00:00,ho-chennai,10.255.0.2,0,routing,0
2026-07-17 15:11:11.332454+00:00,ho-chennai,10.255.0.3,0,routing,0
2026-07-17 15:11:11.344759+00:00,ho-chennai,10.255.0.4,0,routing,0
2026-07-17 15:11:11.650912+00:00,zo-bengaluru,10.255.0.1,0,routing,0
2026-07-17 15:11:11.978165+00:00,br-koramangala,10.255.0.1,0,routing,0
2026-07-17 15:11:12.319537+00:00,br-whitefield,10.255.0.1,0,routing,0
2026-07-17 15:11:42.700399+00:00,ho-chennai,10.255.0.2,0,routing,0
